X;Y;region;departement;commune;site;start;end;period;theme;type
714780,716;7002671,08;Nord-Pas-de-Calais;Nord;Masnières;Les Hauts de Masnières;2003-03-10;2004-04-02;#Protohistoire#Antiquité;;fouille
408340;6766890;Pays de la Loire;Mayenne;Cossé-le-Vivien;Guinefolle (2);2004-03-01;2004-04-30;#Protohistoire#Antiquité#Moyen Âge#Autres périodes;;fouille
565000;6926100;Haute-Normandie;Seine-Maritime;Le Mesnil-Esnard;Rue des Hautes Haies;2004-04-01;2004-04-30;#Néolithique;;fouille
565400;6884600;Haute-Normandie;Eure;Gravigny;Les Coudrettes;2004-04-15;2004-04-30;#Protohistoire;;fouille
290908;6847381;Bretagne;Côtes-d'Armor;Pléneuf-Val-André;Piégu 2;2004-04-19;2004-05-07;#Néolithique;;fouille
711133,13766561;7056373,1788966;Nord-Pas-de-Calais;Nord;Villeneuve-d'Ascq;La Haute Borne, lot C ouest;2004-04-05;2004-05-19;#Protohistoire#Antiquité;;fouille
366298;6788185;Bretagne;Ille-et-Vilaine;Brécé;Le Bourg;2004-05-11;2004-05-27;#Antiquité;;fouille
655356;6664675;Centre;Cher;Bourges;35, rue de Sarrebourg;2004-03-01;2004-05-31;#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
782140;6276825;Languedoc-Roussillon;Hérault;Mauguio;La Font de Mauguio, Les Aires de Saint-Jacques;2004-05-10;2004-06-11;#Néolithique#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
1005300;6793600;Alsace;Haut-Rhin;Le Bonhomme;Le Cerisier;2004-06-16;2004-06-24;#Moyen Âge#Moderne, Contemporain;;fouille
840185;6520700;Rhône-Alpes;Rhône;Sainte-Foy-lès-Lyon;Angle rues Sergent M. Berthet/Saint-Pierre-de-Vaise;2004-03-29;2004-06-25;#Néolithique#Protohistoire#Antiquité;;fouille
548100;6896600;Haute-Normandie;Eure;Crosville-la-Vieille;Le Bout du Val;2004-06-02;2004-06-25;#Protohistoire;;fouille
711806;6653981;Bourgogne;Nièvre;Nevers;12, rue Saint-Genest;2003-10-01;2004-06-30;#Néolithique#Antiquité#Moyen Âge#Moderne, Contemporain;;fouille
312673;6682653;Pays de la Loire;Loire-Atlantique;Pornic;La Tocnaye;2004-04-01;2004-06-30;#Moyen Âge#Moderne, Contemporain;;fouille
669270;6837363;Ile-de-France;Seine-et-Marne;Moissy-Cramayel;Parc d'activités de Chanteloup;2004-04-26;2004-06-30;#Néolithique#Protohistoire#Antiquité;#Habitats, architecture, édifices;fouille
694930;6807022;Ile-de-France;Seine-et-Marne;Varennes-sur-Seine;Le Marais du Colombier;2004-05-04;2004-06-30;#Néolithique#Protohistoire#Antiquité#Moderne, Contemporain;;fouille
775845;6905730;Champagne-Ardenne;Marne;Reims;115  rue du Barbâtre;2004-06-01;2004-06-30;#Antiquité#Moyen Âge#Moderne, Contemporain;#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices;fouille
723235,809;6919622,384;Picardie;Aisne;Soissons;Caserne Gouraud (2);2004-06-02;2004-07-15;#Antiquité;;fouille
842048;6519536;Rhône-Alpes;Rhône;Sainte-Foy-lès-Lyon;Cathédrale Saint-Jean;2004-02-01;2004-07-30;#Moyen Âge;;fouille
